MatchDate:			 Date of the match.
Link_Density_20_min:		 Minimum of <Link_Density_20> (Density for player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Density_20_minGreaterThanZero:	 Minimum of <Link_Density_20> (Density for player with ball.) with only values greater than zero. For <20th player>. During the whole duration of the events <attack>.
Link_Density_20_max:		 Maximum of <Link_Density_20> (Density for player with ball.). For <20th player>. During the whole duration of the events <attack>.
Link_Density_21_avg:		 Average of <Link_Density_21> (Density for player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Density_21_avgGreaterThanZero:	 Average of <Link_Density_21> (Density for player with ball.) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
Link_Density_21_std:		 Standard Deviation of <Link_Density_21> (Density for player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Density_21_min:		 Minimum of <Link_Density_21> (Density for player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Density_21_minGreaterThanZero:	 Minimum of <Link_Density_21> (Density for player with ball.) with only values greater than zero. For <21th player>. During the whole duration of the events <attack>.
Link_Density_21_max:		 Maximum of <Link_Density_21> (Density for player with ball.). For <21th player>. During the whole duration of the events <attack>.
Link_Density_22_avg:		 Average of <Link_Density_22> (Density for player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Density_22_avgGreaterThanZero:	 Average of <Link_Density_22> (Density for player with ball.) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
Link_Density_22_std:		 Standard Deviation of <Link_Density_22> (Density for player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Density_22_min:		 Minimum of <Link_Density_22> (Density for player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_Density_22_minGreaterThanZero:	 Minimum of <Link_Density_22> (Density for player with ball.) with only values greater than zero. For <22th player>. During the whole duration of the events <attack>.
Link_Density_22_max:		 Maximum of <Link_Density_22> (Density for player with ball.). For <22th player>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg:	 Average of <Link_SDPlayerWithBall> (Shot Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avgGreaterThanZero:	 Average of <Link_SDPlayerWithBall> (Shot Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_std:	 Standard Deviation of <Link_SDPlayerWithBall> (Shot Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_min:	 Minimum of <Link_SDPlayerWithBall> (Shot Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_minGreaterThanZero:	 Minimum of <Link_SDPlayerWithBall> (Shot Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_max:	 Maximum of <Link_SDPlayerWithBall> (Shot Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_avg:	 Average of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_min:	 Minimum of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_SDPlayerWithBall_avg_perTimePerPlayer_ref_max:	 Maximum of <Link_SDPlayerWithBall_avg_perTimePerPlayer_ref> (Shot Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg:	 Average of <Link_PDPlayerWithBall> (Pass Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avgGreaterThanZero:	 Average of <Link_PDPlayerWithBall> (Pass Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_std:	 Standard Deviation of <Link_PDPlayerWithBall> (Pass Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_min:	 Minimum of <Link_PDPlayerWithBall> (Pass Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_minGreaterThanZero:	 Minimum of <Link_PDPlayerWithBall> (Pass Density for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_max:	 Maximum of <Link_PDPlayerWithBall> (Pass Density for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_avg:	 Average of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_min:	 Minimum of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
Link_PDPlayerWithBall_avg_perTimePerPlayer_ref_max:	 Maximum of <Link_PDPlayerWithBall_avg_perTimePerPlayer_ref> (Pass Density for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg:		 Average of <angleToGoal> (Angle to goal for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_avgGreaterThanZero:	 Average of <angleToGoal> (Angle to goal for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_std:		 Standard Deviation of <angleToGoal> (Angle to goal for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_min:		 Minimum of <angleToGoal> (Angle to goal for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_minGreaterThanZero:	 Minimum of <angleToGoal> (Angle to goal for player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_max:		 Maximum of <angleToGoal> (Angle to goal for player with ball.). For <playerRows>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_avg:	 Average of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_min:	 Minimum of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
angleToGoal_avg_perTimePerPlayer_ref_max:	 Maximum of <angleToGoal_avg_perTimePerPlayer_ref> (Angle to goal for player with ball.). For <refTeam>. During the whole duration of the events <attack>.
majority_avg:			 Average of <majority> (Difference between the number of defenders and attackers within the Interception Zone.). For <playerRows>. During the whole duration of the events <attack>.
majority_avgGreaterThanZero:	 Average of <majority> (Difference between the number of defenders and attackers within the Interception Zone.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
majority_std:			 Standard Deviation of <majority> (Difference between the number of defenders and attackers within the Interception Zone.). For <playerRows>. During the whole duration of the events <attack>.
majority_min:			 Minimum of <majority> (Difference between the number of defenders and attackers within the Interception Zone.). For <playerRows>. During the whole duration of the events <attack>.
majority_minGreaterThanZero:	 Minimum of <majority> (Difference between the number of defenders and attackers within the Interception Zone.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
majority_max:			 Maximum of <majority> (Difference between the number of defenders and attackers within the Interception Zone.). For <playerRows>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_avg:	 Average of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.). For <refTeam>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.). For <refTeam>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_min:	 Minimum of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.). For <refTeam>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
majority_avg_perTimePerPlayer_ref_max:	 Maximum of <majority_avg_perTimePerPlayer_ref> (Difference between the number of defenders and attackers within the Interception Zone.). For <refTeam>. During the whole duration of the events <attack>.
centrality_avg:			 Average of <centrality> (Centrality for the player with ball.). For <playerRows>. During the whole duration of the events <attack>.
centrality_avgGreaterThanZero:	 Average of <centrality> (Centrality for the player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
centrality_std:			 Standard Deviation of <centrality> (Centrality for the player with ball.). For <playerRows>. During the whole duration of the events <attack>.
centrality_min:			 Minimum of <centrality> (Centrality for the player with ball.). For <playerRows>. During the whole duration of the events <attack>.
centrality_minGreaterThanZero:	 Minimum of <centrality> (Centrality for the player with ball.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
centrality_max:			 Maximum of <centrality> (Centrality for the player with ball.). For <playerRows>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_avg:	 Average of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.). For <refTeam>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.). For <refTeam>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_min:	 Minimum of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.). For <refTeam>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
centrality_avg_perTimePerPlayer_ref_max:	 Maximum of <centrality_avg_perTimePerPlayer_ref> (Centrality for the player with ball.). For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg:			 Average of <distToGoal> (Distance from player with ball to the goal.). For <playerRows>. During the whole duration of the events <attack>.
distToGoal_avgGreaterThanZero:	 Average of <distToGoal> (Distance from player with ball to the goal.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
distToGoal_std:			 Standard Deviation of <distToGoal> (Distance from player with ball to the goal.). For <playerRows>. During the whole duration of the events <attack>.
distToGoal_min:			 Minimum of <distToGoal> (Distance from player with ball to the goal.). For <playerRows>. During the whole duration of the events <attack>.
distToGoal_minGreaterThanZero:	 Minimum of <distToGoal> (Distance from player with ball to the goal.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
distToGoal_max:			 Maximum of <distToGoal> (Distance from player with ball to the goal.). For <playerRows>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_avg:	 Average of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.). For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.). For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_min:	 Minimum of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.). For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
distToGoal_avg_perTimePerPlayer_ref_max:	 Maximum of <distToGoal_avg_perTimePerPlayer_ref> (Distance from player with ball to the goal.). For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg:		 Average of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <playerRows>. During the whole duration of the events <attack>.
dangerousity_avgGreaterThanZero:	 Average of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dangerousity_std:		 Standard Deviation of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <playerRows>. During the whole duration of the events <attack>.
dangerousity_min:		 Minimum of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <playerRows>. During the whole duration of the events <attack>.
dangerousity_minGreaterThanZero:	 Minimum of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
dangerousity_max:		 Maximum of <dangerousity> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <playerRows>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_avg:	 Average of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_min:	 Minimum of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
dangerousity_avg_perTimePerPlayer_ref_max:	 Maximum of <dangerousity_avg_perTimePerPlayer_ref> (Dangerousity for player with ball based on Zone, Control, Pressure and Density.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg:			 Average of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_avgGreaterThanZero:	 Average of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_std:			 Standard Deviation of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_min:			 Minimum of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_minGreaterThanZero:	 Minimum of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_max:			 Maximum of <DA_ZOCOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCOPR_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZOCOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg:			 Average of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_avgGreaterThanZero:	 Average of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_std:			 Standard Deviation of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_min:			 Minimum of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_minGreaterThanZero:	 Minimum of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_max:			 Maximum of <DA_ZOCODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCODE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZOCODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg:			 Average of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_avgGreaterThanZero:	 Average of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_std:			 Standard Deviation of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_min:			 Minimum of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_minGreaterThanZero:	 Minimum of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_max:			 Maximum of <DA_ZOPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPRDE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZOPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg:			 Average of <DA_COPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_avgGreaterThanZero:	 Average of <DA_COPRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_std:			 Standard Deviation of <DA_COPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_min:			 Minimum of <DA_COPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_minGreaterThanZero:	 Minimum of <DA_COPRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_max:			 Maximum of <DA_COPRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_COPRDE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_COPRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg:			 Average of <DA_ZOCO> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_avgGreaterThanZero:	 Average of <DA_ZOCO> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_std:			 Standard Deviation of <DA_ZOCO> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_min:			 Minimum of <DA_ZOCO> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_minGreaterThanZero:	 Minimum of <DA_ZOCO> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_max:			 Maximum of <DA_ZOCO> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOCO_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZOCO_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
